,acq,money-fx,grain,crude,trade,interest,ship,wheat,corn,cluster_size
8,8,47,15,14,183,7,4,3,7,248
7,0,9,143,30,13,2,12,79,56,199
6,340,6,1,38,6,2,44,1,0,413
5,8,82,13,31,76,127,4,5,5,287
4,22,12,9,127,8,8,9,3,2,179
3,2,71,64,21,19,12,22,22,40,193
2,7,7,92,43,19,12,24,60,33,193
1,13,22,35,34,6,8,64,11,11,162
0,0,195,16,11,7,97,3,13,6,250
